,地址,店名
330,桃園市八德區介壽路一段728號B1,老虎歡樂世界：八德置地廣場
331,桃園市八德區介壽路2段148號1樓,玩具e哥：八德大潤發
332,桃園市大園區高鐵北路三段45號,統一超商：祥綸
333,桃園市大園區新興路62號,統一超商：新田園
334,桃園市大園區大成路一段2號1樓,統一超商：高盛
335,桃園市平鎮區新富五街9號1樓,統一超商：富寶
336,桃園市平鎮區南東路57-1號2樓,玩具e哥：平鎮大潤發
337,桃園市平鎮區中庸路208號,玩樂多：平鎮店
338,桃園市平鎮區延平路二段366號,家薩軟式飛鏢
339,桃園市平鎮區平東路225號1樓,統一超商：平東
340,桃園市平鎮區中豐路南勢一段173號1樓,統一超商：鎮翊
341,桃園市大溪區文化路188號,統一超商：文漢
342,桃園市新屋區新生里12鄰中山路367號,統一超商：廣泰
343,桃園市觀音區莊敬路377、379號,統一超商：統愿
344,新竹市北區湳雅街91之2號2樓(ad161),FUNBOX：新竹湳雅大魯閣周邊商品販售中
345,新竹市北區湳雅街97號2樓,玩具e哥：新竹湳雅店
346,新竹市北區南寮里東大路4段123號,統一超商：冠亨
347,新竹市北區武陵路63號1樓,統一超商：武陵
348,新竹市東區公道五路二段469號B1,老虎歡樂世界：新竹愛買店
349,新竹市東區食品路157號,金玉堂：食品店
350,新竹市東區公道五路二段469號B1,愛買：新竹店
351,新竹市東區平和街7號B1,新世紀遊樂器周邊商品販售中
352,新竹市東區西大路323號6樓,鼎美玩具：新竹遠東周邊商品販售中
353,新竹市東區中央路229號5樓,FUNBOX：新竹巨城周邊商品販售中
354,新竹市東區關東路23巷66號,TG運動館：新竹店周邊商品販售中
355,新竹市東區光復路一段531巷70-1號,統一超商：科有
356,新竹市東區民生路226號,統一超商：竹博
357,新竹市東區中華路二段668號,統一超商：泰一
358,新竹市東區光復路2段321號 (2館1樓),統一超商：工研院
359,新竹市東區中央路229號8樓,玩具反斗城：新竹巨城
360,新竹市新竹市東大路二段174號,統一超商：竹陵
361,新竹市香山區海埔路136號,統一超商：海天
362,新竹市香山區牛埔東路188號,孩子玩伴：新竹店
363,新竹市香山區香山里瑞光街23號,統一超商：豪順
364,新竹縣竹北市復興三路二段168號1樓,TOYWORLD：6+Plaza廣場
365,新竹縣竹北市莊敬北路18號3樓,FUNBOX：竹北遠百
366,新竹縣竹北市光明六路89號2樓,玩具e哥：竹北家樂福
367,新竹縣竹北市文興路1段198號,玩的夥：文興店
368,新竹縣竹北市華興街298號1樓,統一超商：竹樺
369,新竹縣竹北市自強南路136號,統一超商：鹿家
370,新竹縣竹北市東興路二段39號,統一超商：璞玉
371,新竹縣竹北市自強三路98號,大學城文具
372,新竹縣竹北市自強南路36號1樓,FUNBOX：竹北享平方
373,新竹縣竹北市莊敬六街83號1樓,全家：竹北永豐店
374,新竹縣竹北市中正西路389號,統一超商：中新
375,新竹縣竹北市莊敬五街13號,統一超商：禾遠
376,新竹縣竹北市中正西路389號,統一超商：中新
377,新竹縣竹東鎮中興路三段297號,伍聯生鮮超市
378,新竹縣竹東鎮中正路15號1樓,統一超商：長政
379,新竹縣芎林鄉富林路二段729號,統一超商：飛凰
380,新竹縣湖口鄉光復東路8號1樓,統一超商：豐鼎
381,新竹縣湖口鄉中山路一段790號,統一超商：王爺
382,苗栗縣苗栗市新東街219號,統一超商：苗碩
383,苗栗縣苗栗市府前路120號,統一超商：新苗中
384,苗栗縣公館鄉館南路216-2號,統一超商：館福
385,苗栗縣頭份市中央路105號6樓,FUNBOX：苗栗尚順周邊商品販售中
386,苗栗縣頭份市自強路230號1樓櫃位編號27+30,玩具e哥：頭份大潤發
387,苗栗縣頭份市建國里中華路1381號1樓,孩子玩伴：頭份店
388,苗栗縣頭份市永貞路一段128號,統一超商：貞豪
389,苗栗縣頭份市永貞路一段128號1樓,統一起商：貞豪
390,苗栗縣竹南鎮博愛街62號3樓,TOYWORLD：竹南佳瑪周邊商品販售中
391,苗栗縣竹南鎮延平路170號,統一超商：國豪
392,苗栗縣竹南鎮博愛街62號3樓,老虎歡樂世界：竹南佳瑪
393,苗栗縣銅鑼鄉中正路177.179號,統一超商：銅鑼
394,苗栗縣頭屋鄉尖豐路118號120號1樓,統一超商：頭屋
395,臺中市南屯區文心南路289號4樓,FUNBOX：文心秀泰店周邊商品販售中
